,0,1,2,3,4,5
291,0,2015,CHEVROLET,EQUINOX LT,"$23,900 ","31,085 miles"
292,0,2014,CHEVROLET,EQUINOX LT,"$16,995 ","50,891 miles"
293,0,2017,BMW,X3,"$16,995 ","10,318 miles"
294,0,2015,JEEP,GRAND CHEROKEE LIMITED,"$40,999 ","68,596 miles"
297,1,2014,JEEP,GRAND CHEROKEE LIMITED,"$15,795 ","33,384 miles"
298,0,2015,JEEP,GRAND CHEROKEE,"$15,795 ","43,341 miles"
300,0,2012,BMW,X5,"$34,000 ","33,411 miles"
301,0,2011,BMW,X5,"$23,997 ","75,820 miles"
302,1,2016,FORD,EXPEDITION EL,"$23,997 ","34,520 miles"
303,0,2007,HONDA,CR-V,"$26,988 ","102,589 miles"
304,0,2015,MERCEDES-BENZ,M-CLASS ML 350,"$26,988 ","47,365 miles"
305,1,2015,MAZDA,CX-5,"$33,288 ","33,684 miles"
306,0,2013,TOYOTA,RAV4,"$16,993 ","46,083 miles"
307,1,2014,LEXUS,GX 460,"$16,993 ","26,554 miles"
308,0,2013,TOYOTA,RAV4 LIMITED,"$39,696 ","43,107 miles"
310,0,2014,AUDI,Q5,"$17,996 ","59,655 miles"
311,1,2014,HONDA,CR-V,"$17,996 ","25,248 miles"
312,1,2015,MAZDA,CX-5 GRAND,"$29,997 ","31,934 miles"
313,0,2013,JEEP,WRANGLER,"$29,997 ","52,540 miles"
314,0,2014,JEEP,GRAND CHEROKEE LIMITED,"$29,586 ","32,034 miles"
315,0,2011,MERCEDES-BENZ,GL-CLASS GL 350,"$29,586 ","90,962 miles"
316,0,2015,JEEP,WRANGLER,"$18,765 ","22,009 miles"
318,1,2015,MAZDA,CX-5,"$21,500 ","34,982 miles"
319,0,2014,BMW,X3,"$21,500 ","28,778 miles"
320,1,2017,BMW,X5,"$22,988 ","5,208 miles"
321,0,2015,TOYOTA,RAV4,"$21,554 ","17,672 miles"
322,1,2015,LEXUS,NX,"$21,554 ","34,542 miles"
323,1,2016,ACURA,MDX ADVANCE,"$30,696 ","8,728 miles"
325,0,2011,HONDA,PILOT,"$44,500 ","63,524 miles"
326,0,2010,HONDA,CR-V,"$44,500 ","83,600 miles"
327,0,2004,HONDA,CR-V,"$29,894 ","133,659 miles"
328,1,2014,HONDA,CR-V,"$18,995 ","21,831 miles"
329,0,2013,NISSAN,PATHFINDER,"$18,995 ","79,055 miles"
330,0,2015,TOYOTA,RAV4,"$14,995 ","13,901 miles"
331,0,2007,JEEP,GRAND CHEROKEE,"$14,995 ","77,794 miles"
332,0,2014,JEEP,PATRIOT,"$36,568 ","30,814 miles"
334,1,2014,HONDA,CR-V,"$16,998 ","37,554 miles"
336,1,2015,ACURA,RDX,"$20,990 ","16,892 miles"
338,1,2014,NISSAN,ROGUE,"$29,000 ","19,524 miles"
339,1,2017,MAZDA,CX-3 GRAND,"$29,000 ","6,000 miles"
341,0,2008,NISSAN,PATHFINDER,"$50,766 ","125,053 miles"
342,1,2014,HONDA,CR-V,"$17,980 ","19,202 miles"
343,1,2014,HONDA,CR-V,"$17,980 ","12,136 miles"
344,1,2015,BMW,X3,"$24,200 ","30,132 miles"
345,0,2014,HONDA,CR-V,"$24,200 ","49,637 miles"
346,1,2014,HONDA,CR-V,"$17,900 ","47,436 miles"
347,0,2014,NISSAN,ROGUE,"$17,900 ","25,643 miles"
348,1,2015,MAZDA,CX-5,"$9,995 ","40,892 miles"
350,0,2011,LEXUS,RX,"$31,991 ","51,888 miles"
351,0,2005,BMW,X3,"$20,695 ","114,701 miles"
352,1,2015,HONDA,PILOT,"$20,695 ","32,806 miles"
353,0,2013,TOYOTA,RAV4 LIMITED,"$7,333 ","27,800 miles"
354,0,2015,HONDA,CR-V,"$7,333 ","49,510 miles"
355,0,2016,MAZDA,CX-5,"$27,495 ","28,394 miles"
358,1,2016,ACURA,MDX,"$23,000 ","53,325 miles"
360,0,2011,NISSAN,ROGUE,"$21,483 ","37,604 miles"
361,0,2012,MERCEDES-BENZ,M-CLASS ML 350,"$21,483 ","76,517 miles"
362,0,2014,MAZDA,CX-9 GRAND,"$58,900 ","31,992 miles"
363,0,2015,JEEP,GRAND CHEROKEE,"$31,900 ","38,312 miles"
364,0,2013,NISSAN,ROGUE,"$31,900 ","66,980 miles"
365,0,2011,HONDA,CR-V,"$12,933 ","66,999 miles"
366,1,2015,HONDA,CR-V,"$12,933 ","44,903 miles"
367,1,2014,BMW,X5,"$13,993 ","29,481 miles"
368,0,2010,ACURA,MDX,"$13,993 ","82,813 miles"
369,0,2014,NISSAN,ROGUE,"$18,398 ","33,220 miles"
370,0,2016,NISSAN,ROGUE,"$18,398 ","7,029 miles"
371,0,2011,ACURA,MDX,"$42,987 ","99,000 miles"
373,0,2015,MERCEDES-BENZ,GL-CLASS GL 350,"$18,296 ","29,833 miles"
374,0,2014,ACURA,MDX,"$18,296 ","72,485 miles"
376,0,2016,BMW,X6,"$13,991 ","7,118 miles"
377,1,2014,HONDA,CR-V,"$16,633 ","35,613 miles"
378,0,2013,LEXUS,LX,"$39,995 ","114,170 miles"
379,0,2013,MERCEDES-BENZ,M-CLASS ML 350,"$39,995 ","77,277 miles"
380,0,2011,BMW,X5 XDRIVE35I,"$26,990 ","73,701 miles"
381,0,2018,BMW,X4,"$26,990 ","6,202 miles"
