,Unnamed: 0,UC,year,brand,model,price,mileage,Oprice,D_rate
59,59,1,2016,HONDA,CR-V,19995,"35,227 miles",28670,0.6974189047785141
60,60,1,2014,HONDA,CR-V,18895,"43,051 miles",26870,0.7032005954596204
61,61,1,2014,HONDA,CR-V,18895,"18,595 miles",26870,0.7032005954596204
62,62,0,2008,HONDA,CR-V,17795,"113,079 miles",24550,0.724847250509165
63,63,1,2016,HONDA,PILOT,17795,"30,104 miles",38557,0.4615244962004305
64,64,1,2017,HONDA,PILOT,10988,"2,943 miles",38982,0.281873685290647
65,65,1,2015,HONDA,CR-V,10988,"46,084 miles",28215,0.38943824206982103
66,66,0,2001,HONDA,CR-V,32904,"172,175 miles",0,
67,67,1,2016,HONDA,CR-V,32904,"32,241 miles",28670,1.1476805022671783
68,68,1,2016,HONDA,CR-V,31795,"36,954 miles",28670,1.1089989536100453
69,69,1,2014,HONDA,PILOT,31795,"41,981 miles",35545,0.8944999296666197
70,70,1,2015,HONDA,CR-V,21895,"22,175 miles",28215,0.7760056707425128
71,71,1,2014,HONDA,CR-V,21895,"32,956 miles",26870,0.8148492742835877
72,72,1,2016,HONDA,CR-V,5999,"48,739 miles",28670,0.20924311126613185
73,73,1,2014,HONDA,CR-V,5999,"35,946 miles",26870,0.22326014142165984
74,74,1,2016,HONDA,CR-V,19995,"35,227 miles",28670,0.6974189047785141
75,75,1,2014,HONDA,CR-V,18895,"43,051 miles",26870,0.7032005954596204
76,76,1,2014,HONDA,CR-V,18895,"18,595 miles",26870,0.7032005954596204
77,77,0,2008,HONDA,CR-V,17795,"113,079 miles",24550,0.724847250509165
78,78,1,2016,HONDA,PILOT,17795,"30,104 miles",38557,0.4615244962004305
79,79,1,2017,HONDA,PILOT,10988,"2,943 miles",38982,0.281873685290647
80,80,1,2015,HONDA,CR-V,10988,"46,084 miles",28215,0.38943824206982103
81,81,0,2001,HONDA,CR-V,32904,"172,175 miles",0,
82,82,1,2016,HONDA,CR-V,32904,"32,241 miles",28670,1.1476805022671783
83,83,1,2016,HONDA,CR-V,31795,"36,954 miles",28670,1.1089989536100453
84,84,1,2014,HONDA,PILOT,31795,"41,981 miles",35545,0.8944999296666197
85,85,1,2015,HONDA,CR-V,21895,"22,175 miles",28215,0.7760056707425128
86,86,1,2014,HONDA,CR-V,21895,"32,956 miles",26870,0.8148492742835877
87,87,1,2016,HONDA,CR-V,5999,"48,739 miles",28670,0.20924311126613185
88,88,1,2014,HONDA,CR-V,5999,"35,946 miles",26870,0.22326014142165984
89,89,1,2016,HONDA,CR-V,19995,"35,227 miles",28670,0.6974189047785141
90,90,1,2014,HONDA,CR-V,18895,"43,051 miles",26870,0.7032005954596204
91,91,1,2014,HONDA,CR-V,18895,"18,595 miles",26870,0.7032005954596204
92,92,0,2008,HONDA,CR-V,17795,"113,079 miles",24550,0.724847250509165
93,93,1,2016,HONDA,PILOT,17795,"30,104 miles",38557,0.4615244962004305
94,94,1,2017,HONDA,PILOT,10988,"2,943 miles",38982,0.281873685290647
95,95,1,2015,HONDA,CR-V,10988,"46,084 miles",28215,0.38943824206982103
96,96,0,2001,HONDA,CR-V,32904,"172,175 miles",0,
97,97,1,2016,HONDA,CR-V,32904,"32,241 miles",28670,1.1476805022671783
98,98,1,2016,HONDA,CR-V,31795,"36,954 miles",28670,1.1089989536100453
99,99,1,2014,HONDA,PILOT,31795,"41,981 miles",35545,0.8944999296666197
100,100,1,2015,HONDA,CR-V,21895,"22,175 miles",28215,0.7760056707425128
101,101,1,2014,HONDA,CR-V,21895,"32,956 miles",26870,0.8148492742835877
102,102,1,2016,HONDA,CR-V,5999,"48,739 miles",28670,0.20924311126613185
103,103,1,2014,HONDA,CR-V,5999,"35,946 miles",26870,0.22326014142165984
104,104,1,2016,HONDA,CR-V,19995,"35,227 miles",28670,0.6974189047785141
105,105,1,2014,HONDA,CR-V,18895,"43,051 miles",26870,0.7032005954596204
106,106,1,2014,HONDA,CR-V,18895,"18,595 miles",26870,0.7032005954596204
107,107,0,2008,HONDA,CR-V,17795,"113,079 miles",24550,0.724847250509165
108,108,1,2016,HONDA,PILOT,17795,"30,104 miles",38557,0.4615244962004305
109,109,1,2017,HONDA,PILOT,10988,"2,943 miles",38982,0.281873685290647
110,110,1,2015,HONDA,CR-V,10988,"46,084 miles",28215,0.38943824206982103
111,111,0,2001,HONDA,CR-V,32904,"172,175 miles",0,
112,112,1,2016,HONDA,CR-V,32904,"32,241 miles",28670,1.1476805022671783
113,113,1,2016,HONDA,CR-V,31795,"36,954 miles",28670,1.1089989536100453
114,114,1,2014,HONDA,PILOT,31795,"41,981 miles",35545,0.8944999296666197
115,115,1,2015,HONDA,CR-V,21895,"22,175 miles",28215,0.7760056707425128
116,116,1,2014,HONDA,CR-V,21895,"32,956 miles",26870,0.8148492742835877
117,117,1,2016,HONDA,CR-V,5999,"48,739 miles",28670,0.20924311126613185
118,118,1,2014,HONDA,CR-V,5999,"35,946 miles",26870,0.22326014142165984
119,119,1,2016,HONDA,CR-V,19995,"35,227 miles",28670,0.6974189047785141
120,120,1,2014,HONDA,CR-V,18895,"43,051 miles",26870,0.7032005954596204
121,121,1,2014,HONDA,CR-V,18895,"18,595 miles",26870,0.7032005954596204
122,122,0,2008,HONDA,CR-V,17795,"113,079 miles",24550,0.724847250509165
123,123,1,2016,HONDA,PILOT,17795,"30,104 miles",38557,0.4615244962004305
124,124,1,2017,HONDA,PILOT,10988,"2,943 miles",38982,0.281873685290647
125,125,1,2015,HONDA,CR-V,10988,"46,084 miles",28215,0.38943824206982103
